question,answer,label
Name two oceans with salt.,Pacific and Atlantic oceans.,0
Name the shape for the edge of the earth?,The Earth is irregularly elliptical in shape.,0
how long time sharks live in water?,they live in water for their whole life,0
"As as island, is Japan located in Asia?","Yes, it is.",0
Where can we find mushrooms on the ground?,In the mountains.,0
"Which one is an insect, a bee or a table?","A bee, because a table isn't a creature. Bees can collect honey from flowers.",0
"If I want to  enjoy the harvest moon in 2022, what should I do?",Wait until September 10th or 11th.,0
Where should I go if I want to buy train ticket.,You can either buy it online or go to the railwaystation.,0
Why does bust size affect female beauty?,"Because the breast size has to match the figure, too big or too small will affect the aesthetics.",0
Where do hyacinth macaws' eyes grow?,There eyes grow on the sides of their heads.,0
What are the atoms of a water molecule?,A water molecule is made up of two hydrogen atoms and one oxygen atom.,0
How do you make the surface of the water ripple?,You can throw a stone in the water and the surface will ripple.,0
How do people in the magical world use the blanket to fly?,Use the magic and the spell.,0
List the number of chest bones in the human body.,There are 26 chest bones in the human body.,0
Name three kinds of meat that humans eat.,"Pork, chicken and beef.",0
"When is the National Holiday in China, it is on 1st of October?","Yes, it is.",0
"If I want to fly in the air, which transport should I use?",Hot air balloon is one of them.,0
Where does the wild mushrooms grow on? In the mountain or in the land?,The wild mushrooms grow on the mountains.,0
"If I want to swim in the river at 12:00, what should I bring?",Swimming suites and sunscreen.,0
Who was the person helped Qin Shihuang to design the Terracotta Warriors? Luban or Lisi?,The prime minister Li Si at that time was the designer.,0
How can we check the brain of a human?,We can get a CT of a human's brain.,0
Does bison normally have less natural predators than other mammals?,"Yes, bison normally have few natural predators.",0
How many jars does a female cook want?,It depends on what this female cook wants to cook.,0
What weather do I need to take an umbrella outside? Rainy or snowy day?,You will need to take an umbrella outside on both rainy and snowy days.,0
Why are rats light?,Because they are physically small.,0
Why do major people love money?,Because people can buy many things they want with money.,0
How can limestone be used to make quicklime?,Limestone can be calcined at high temperature to produce quicklime.,0
Which mountain did Ming Dynasty built the Great Wall?,The Great Wall of China passes through Jundu Mountains with famous sections as Badaling.,0
"Which one does the coco release, light or smell?",Coco can release smell.,0
How many hand are there on a human body?,Two,0
Why human beings need wood?,Because of the convenience that wood provides to people's lives as a combustible fuel.,0
Why all the people live on the ground?,"Earth has gravity, we can't live in the sky or under the sea.",0
How to eat beef?,"There are different ways for people to eat beef, such as braised beef, grilled beef and beef soup.",0
Where do bird's wings grow?,On both sides of its body,0
How many degrees does water boil when heated at room temperature?,100 celsius.,0
What kind of butterfly can fly?,All kinds of butterflies can fly.,0
What kind of food do Jamaican bat eat? leaves or flowers?,Jamacian Bat eat both of them.,0
"Which country is Shakespeare's home country, China or England?",England is Shakespeare's home country.,0
What is the role of the bridge?,"Bridges are specialized man-made structures with load-bearing capacity for use by railways, roads, canals, pipelines, etc. across rivers, valleys or other lines of communication.",0
What can our children do in the next 20 years?,They can take care of you and accompany you.,0
"Which one can run faster, snails or tigers?",Tigers run faster.,0
How do humane traps trap a mouse?,"All humane mouse traps operate on a 'relocation闂 or 'Catch & Release闂 strategy, which means that once you complete the hard part (the catch) you then release the animal back into the wild.",0
When did biochemists discover amylase?,In the 19th century.,0
How to extract rubber from a rubber tree?,"Natural rubber is extracted by a method called tapping, by making incisions into the bark and collecting the fluid into vessels attached to the rubber trees. The liquid is a sticky, milky sap called latex, and requires a couple of steps before it will be sold as natural rubber.",0
Does the driver work on the sunday of each week,"it's depends, drivers usually work at weekends.",0
Who turns a cow into beef?,A butcher.,0
Why is food waste harmful to the environment protection?,Because food waste that ends up in landfills produces a large amount of methane 闂 a more powerful greenhouse gas than even CO2.,0
"If an adult gets toddler diarrhea, what should his parents do?",They should check his symptom and ask doctors for help.,0
Is smoked sausage with a salty taste?,Usually it is.,0
What did spinosaurus eat 100 million years ago?,They ate meat.,0
"Which one is clothing, jacket or cabbage?",Jacket.,0
Why does a water molecule consist of two hydrogen atoms and one oxygen atom?,Because this combination can make three atoms reach a stable state at the same time and form covalent bonds.,0
When did Leonardo da Vinci create the famous artwork Mona Lisa?,He created Mona Lisa in the early 16th century.,0
How to take a measurement for a elephant's tail?,Using a leather ruler to measure the length of elephant's tail.,0
Why will cancer influence us in a bad way?,Because it will attack our cells.,0
What kind of animals can fly?,Birds can fly.,0
which goods belongs to clothes? T-shirt or sweater,both of them are clothes,0
How can water enter the human body?,Water enters the human body through mouth.,0
How long will it take to go to Brazil from Beijing by airplane?,More than 20 hours.,0
Do aliens really exist?,The question remains to be explored.,0
What kind of room is constructed by glass?,Glass greenhouse is constructed by glass.,0
How can we find a speech delivered by famous people on the Internet?,We can search the title of speech on the Internet.,0
Name a city with a population over 10 million in China?,Beijing is one of the city I know.,0
"List the number of horse breeds in the world, 600 or 300?",There are thought to  be 350 breeds of horse in existence around the globe today.,0
How do you build strength when you're low in it?,Go to rest and eat something.,0
How does anger make us violent and irritable?,"Anger is an emotional state that varies from mild irritation to intense anger, when it occurs, we may feel different state of anger.",0
What kind of habitats does swan like?,"A place with lakes, fresh air and abundant plants.",0
What are the symptoms of a woman with morning sickness?,"Nausea, vomiting, poor appetite and depression.",0
Is Confucius a famous person in Japan?,"Yes, Confucius is famous all over the world.",0
Name the frequency for a shark to eat.,Sharks eat every two or three days.,0
How can a shark hunt?,They swim fast to catch small fishes and then swallow them.,0
does one write elegies to express emotions?,"Yes, because elegies is a way to express sorrowful emotions",0
What does a beggar do to make a living?,They ask people for money or food.,0
Where the chameleon is visible?,Chameleons are mostly found in rainforest to savannas.,0
What does an aromatic herb release? Natural gas or smell?,"It releases a strong, pleasant smell of herbs or spices.",0
When do we need to drink water?,When you are thirsty.,0
How much abalone are gotten by people?,A lot.,0
"Which animal has four legs, a hyrax or a bird?",A hyrax has four legs.,0
List one ocean in Africa.,Crimson Sea.,0
How do we adapt to life on campus?,Try to make some new friends.,0
Does a man pee standing up with his penis?,"Yes, of course.",0
"If you want to buy a wedding ring, what shop will you go?",Jewelry stores,0
Is TV biger than laptop?,Yes.,0
How will they work if we inject vaccines into our bodies?,They will bring antibodies and help with our immune system.,0
Gow can a kid climb a tree?,Use a ladder.,0
What kind of butterflies emerge from pupas?,Most butterflies emerge from pupas.,0
Why does the sun fall down to the west?,Because the earth rotates itself from the west to the east.,0
Why do people work for seven days per week?,Maybe they want to earn more money.,0
Why don't you wear this swimming suite to swim?,"Oh, this a good idea!",0
Name a way that we can wash our hands with water at 20 degrees Celsius?,You can use a bowl to boil the water to 20 degree and wash your hands.,0
How many kilograms of bamboo do pandas eat everyday?,About 15 to 20 kilgrams.,0
Do lizards prey on insects to live?,"Yes, because most lizards are carnivorous animals, and insects are their main food.",0
How many choices do people have to face to get married?,"People have two choices, to get married or not to get married.",0
Why will smoking cause lung cancer?,"Because cigarettes contains of nicotine, which will hurt your lung.",0
Where can people buy a waffle now?,Cake shop.,0
Are medicines bitter?,"Some medicines are bitter, but some are not. Sometimes children's medicines taste sweet.",0
When will my brother become an adult?,"When he is 18 years old, he becomes an adult.",0
"Which one is the right number for guts of a man, one or four?",A man has one gut.,0
How do leaves grow out of trees?,The trees absorb sunlight and nutrition from the soil to grow leaves.,0
Where can a man buy spinach?Supermarket or clothing shop?,He can buy spinach at the supermarket and clothing shops are selling clothes.,0
Why does the ballet dancer cry in the show?,She has invested too much emotion.,0
What was the place where the French Open was held in 2021?,The 2021 French Open was held in Roland Garros from May to June.,0
Why people eat vegetable for keeping healthy,because vegetable can  provide many kind of nutrition,0
"List the number of days to change a person's metabolism, 30 or 20 days?","It depending, three months is a reasonable timeframe to expect to see changes.",0
Which one can be made of plastic? Diamond or chopstick?,Chopstick.,0
List two countries that the blizzard frequently occurs.,The USA and Russia.,0
Name a sausage with a salty taste.,Pickled sausages are salty.,0
What seeds can grow into a sunflower?,Sunflower seeds can grow into a sunflower.,0
Which tree has thorny branches? The thorn tree or the plum tree?,The branches of the thorn tree are covered with large and small thorns.,0
Why is it that money can't buy any product?,"Because the sale is between two parties, as soon as one of them does not agree, the sale ceases to exist.",0
How many years can a rabbit live?,The average lifespan of a rabbit is around 6-10 years.,0
What should we prepare to extract soluble fiber from an apple?,We can prepare some chemical reagents such as NaOH and HCI.,0
What's the belief of Christians?,They believe in Jesus Christ.,0
What industry does agriculture belong to?,The first industry.,0
Why do canker sores occur in the mouth?,Because mouth is easy to be invaded by bacteria resulting in canker sores.,0
How does a ship navigate the sea?,It depends on the buoyancy of water.,0
"Where can we watch Daily News, in a movie theater or on TV?",We cab watch Daily News on TV.,0
What kind of animals can creep?,Earthworms are one of the animals that can creep.,0
Why birds find it easier to find water in moist climate?,Because there will be more rain in moust climate.,0
"Which can be drunk with the cocktail, stone or Whisky?",Whisky.,0
What other fruits do you know besides melons?,"Apple, pear, banana, etc.",0
"Which part of a human body has bones, eyeball or leg?",There are bones in leg.,0
How often does a taxi driver replace his car brake pads?,The car brake pads need to be replaced after the car has driven 30000 to 50000 kilometers.,0
"If a reporter goes to the prairie, would he interview a lion?","No, because lions can't speak. The reporter can take some pictures of lions.",0
Where is the computer on the desk?,The computer is in the middle of the desk.,0
How can a man breathe in the water?,Use oxygen cylinder.,0
"Which island is bigger, Greenland or Honshu?",Greenland.,0
What kind of computer do you like to use?,A laptop.,0
List the reason why we can't see cancer cells with naked eyes?,Because the size of the cells is not visible to the human eyes.,0
Why can a cockcomb be eaten?,Because cockscomb is rich in nutrients and can be cooked in various ways.,0
"If I want to  eat a hamburger, then how long it will takes?","Just a few minutes, it depends on different people.",0
What is considered a good mood?,"Maybe a calm, peaceful state of mind.",0
List the date when Qianlong Emperor travelled to Jiangnan first time?,It was in 1751.,0
"In the Monkey King Story, how did Monkey king fight with Ox Monster?",By wisdom and magic power.,0
"Which one is the biggest terrestrial life, the elephant or the lion?",Elephant.,0
How many eggs do penguins usually lay during the breeding season?,Usually one egg only.,0
How many animals are there on earth?,There are about three million kinds of animals.,0
How can a human survive without car?,Car is not a necessity for human.,0
List one method apes turn into humans?,By evolution.,0
"Which one is the characteristic of morale, positive or ambitious?",Both. They belong to the characteristics of morale.,0
Why can falcon fly?,The wings of falcon have specialized feathers for flying,0
What ingredients do people need to take to make bread?,"People can make bread with flour, eggs, butter, milk powder, salt and dry yeast.",0
list one or two countries on the east side of China?,Korea and Japan.,0
How to help a dog with no eyes to walk?,We can lead the dog on a leash.,0
Why do children like to eat candy?,Because it's sweet.,0
"If a person want to buy clothes, where can he go?",He can go to shopping malls and clothing stores.,0
What kind of plants help digestion?,Rosemary and parsley.,0
Which one is the right way to make raisins by using grapes? dry or wet them?,Dry them in the sun.,0
Where can I buy some bollted water in this mall?,You can find them in the supermarket which is in the basement of the mall.,0
Where do swots buy books?,They can go to bookstores to buy different books.,0
When can apple trees produce apples?,Usually in autumn,0
Which one is coniferous tree? Korean pine or elm?,Korean pine is coniferous tree.,0
Why glass windows have smooth surfaces?,It is the result of the combined effect of gravity and surface tension of the liquid.,0
Does hamburger a popular food because I often see it  in KFC or Burger King?,"Yes, it does.",0
Why most people have the greed of money?,Because more money can give them a better life.,0
Do clippers move faster than canoes in the water?,"Yes, because clippers are usually equipped with strong engines.",0
What action does not use hand?,Jump.,0
What kind of animals does the eland belong to?,It belongs to Bovidae.,0
What Dumplings Say About Chinese Culture?,It represent good luck and family reunion.,0
How many students are there in Zhengzhou University.,Tens of thousands of.,0
List two ways how can a student learn English.,By having English classes and practice a lot after class.,0
Why warm water is helpful?,Because warm water stimulates the flow of blood to the fingers.,0
Why sleeping pills can help us to sleep?,Because sleeping pills contain benzodiazepines.,0
Name the location of human's two lips.,Connect with our mouth.,0
In what season do the Japanese usually wear clogs?,Usually in summer.,0
"When doctors diagnose diseases, can they give you some medicine?","Yes, they can.",0
Why we should not smoke in the gas station?,Because it may cause explosion and we will die.,0
"If I want to watch television at 23:00, what should I do?",Wait until 23:00 or set an alarm.,0
"Which color do flowers of clovers have more, violet or green?",Violet.,0
Why human eats food?,Because food can provide us with energy.,0
Why don't you find a mental health counselor to treat your depression?,I feel embarrassed.,0
Why looking directly at a far place can relax our eyes,because the muscle around our eyes is relax when we looking at a far place,0
"If we want to eat tender fruit, what kind of cherry can we choose?",We can choose sour cherries.,0
List the reason why do men grow beards?,"Because the hair follicles on their jaw are stimulated by the hormone dihydrotestosterone (DHT), which is produced from testosterone.",0
Why can't people eat sprouted potatoes?,It might be poisonous.,0
What color is a chicken's egg?,Brown or White.,0
List five non-metallic elements.,"Hydrogen, Helium, Lithium, Beryllium, Boron.",0
Which tool can draw a round? A compass or an eraser.,A compass can be used to draw a round.,0
Will it be better if we use wheat to make bread?,"Yes, it will.",0
What type of architecture is the Forbidden City? Indian or Chinese?,The Forbidden city is a typical Chinese architecture.,0
"Which one rains more, Saudi Arabia or Brazil?",Brazil.,0
"Which one has less quality, a tiger or an elephant?",A tiger.,0
How long a paragliding can glide in the sky?,A paragliding can glide 1-5 hours usually.,0
Can you name one way for a person going to England from French?,He can take a flight.,0
How many times a year can a sailor see a whale,It depend on luck,0
What should we take to go shopping in shopping malls?,"Cash, credit cards or a smartphones with payment apps.",0
Why are most of windows made of glass?,Because of the sealing and light transmission of glass is very good.,0
Why are minors not allowed in internet cafes?,"As most minors are not well-involved and have poor self-control, casual access to Internet cafes can easily lead to addictive consequences, which can be harmful.",0
"If I want to cook rice with a rice cooker, when should I start to prepare?",30 minutes in advance is ok.,0
"Which explosive is more powerful in the 2000s, the grenades or black powders?",Grenades.,0
What causes human usually use upper arms to walk?,"Humans generally walk on their lower limbs, which means they walk on two legs.",1
What type of addax belongs to the cat family?,"Addax is a type of lamb, not cat.",1
Why can a newspaper clean our house and cook for us?,Newspapers are not human beings and cannot perform these acts that humans can do.,1
Why can a desk breathe in the ocean?,"Desk is not alive, and thus desk can't breathe.",1
"Which one is white, a blackboard or a black pant?",The blackboard and black trousers are black.,1
How many fins does a cow have?,Only fish have fins.,1
Why is the blood inside the snake constant temperature?,"Snakes, like all reptiles, are cold-blooded (also known as ectothermic). Snake blood cannot be kept at a constant temperature.",1
Is Qinhai lake in America the largest lake ?,"Qinghai Lake is in China, not in America.",1
What kind of meat can be made into soybean milk?,"Soy milk is made from beans, not from meat.",1
Did people use electric lamps more often than gas lamps in 1700?,Electric light had not yet been invented in 1700.,1
What kind of religious ritual that can be believed by everyone?,There is no religious ceremony that everyone believes in.,1
Are the chestnuts in the almond tree delicious?,"There are almonds on almond trees, and chestnuts grow on chestnut trees.",1
What material is native bee? Plastic or metal?,"Native bees are animals, not a material.",1
"Which city is in America, London or Sydney?","London is in England and Sydney is in Australia, neither of which is in the United States.",1
How can we prevent everyone from getting the influenza?,"Influenza is a disease caused by the influenza virus, which mutates quickly and cannot be prevented.",1
Why should stones play football?,"Stone is not a kind of animal, so stone can't play football,",1
How often can we harvest broccoli from the tall trees?,"Cauliflower grows on farmland, not on trees.",1
Does computer smells better than navy bean?,A computer does not smell.,1
"Which action is good for your health, smoking or eating a lot of sugar?",Smoking and eating a lot of sugar are bad to our health.,1
When were the antiques in the Forbidden City made? yesterday or last week?,Antique is a general term for objects made in ancient times.,1
How many fat cells does one tulip have?,"Plants generally do not have fat cells, animals have fat cells",1
Why does cayenne pepper block blood circulation?,Chili improves blood circulation.,1
Why is cancer harmless?,Cancer is a harmful disease not a harmless disease,1
Do duckweeds grow better in mountains than in the water?,Floating duckweed is a plant that can only live in water.,1
List 78 italian languages please.,Italian language is a kind of language.,1
Which one drinks salty water. Computers or phones?,"Computers and phones aren't animals, they don't drink water.",1
How many days does a cat's egg hatch into a baby cat?,"Cats are mammals, and they give birth to viviparum instead of eggs.",1
Why can fathers get pregnant?,"The father doesn't have a uterus, so he can't get pregnant",1
how can heat microwave by food,Food can't heat microwave. Mrcrowave heat food.,1
"If I want to turn pork into a pig, then what should I do?",Pork comes from pig.,1
"Where did the famous evolutionist, Charles Darwin, write The Old Man and the Sea?","The Old Man and the Sea was written by Ernest Hemingway, not Darwin.",1
Why do bears hibernate in summer?,Bears only hibernate in winter.,1
Where do people go to visit eye doctor to get their teeth fixed?,Ophthalmologists treat the eyes and not the teeth.,1
Can you name one or two drawbacks that make people better?,A drawback is an aspect of something or someone that makes them less acceptable than they would otherwise be. Drawbacks can not闁 make people better.,1
"If a desk want to have basic education, how many years will it takes?",The table has no brain.,1
List one dapple that can swim.,Dapple is not an animal and it cannot swwim,1
"Which one belongs to the three large classes of solid materials, nylon or cement?","Nylon is solid, but not a solid drink, cement can not drink, and is not a drink.",1
"If I want to extract salt from wood, what should I do?",Wood contains no salt.,1
How many paws do canid have? Three or five?,"A normal dog usually has four PAWS, not three or five",1
Where in Asia is America located?,The America is a country located in North America.,1
Which types of phones did Churchill like to use?,There were no cell phones in Churchill's day.,1
"Which one can release oxygen, a lamp or a cup?","Lamps and cups are man-made objects, not plants, that do not release oxygen through photosynthesis",1
How do I fish with an oven?,"The oven is for baking fish, not fishing",1
which flower can buy a movie ticket?,"Movie tickets need to be bought with money, flowers are not money, can not buy movie tickets",1
"Which color is mammals' blood, blue or green?","Mammals usually have blood in red, not in blue nor green",1
What does a pianist take for a swim in the desert?,"Generally speaking, there is not enough water for you to swim in the desert.",1
Why the strawberry can see movies with eyes?,"A strawberry is a plant, not an animal. It doesn't have an eye",1
List two trees that grow on the moon .,"There is no oxygen necessary for plant growth on the moon, so there are no trees.",1
Why sable wearers should not touch water?,Sable wearers can touch water and this behavior does not cause danger.,1
List the number ofthe cities in a darkroom?,A darkroom is a place for developing photographic film. There is no city in it.,1
How do firefighters put out fires with ambulances?,The firemen put out the fire with a fire engine.,1
Are lips of stone the same hard as that of human?,A stone is not a living thing. It has no lips. Humans have lips.,1
List three kind of diseases that a healthy person may have.,A healthy person usually refers to someone who does not have disease.,1
List a monkey with two tails.,"Generally speaking, monkeys have only one tail.",1
"If a man smoke 1000 cigarettes a day, why he is getting healthier?",It has been scientifically proven that smoking is harmful to health.,1
"If plants grow well in Beijing, then when is the best time to plant a tree? December or November?","Plants and trees usually won't grow in cold weathers, December and November have very cold weathers",1
What kind of animal live in the national forest on the Moon?,There is no forest on the moon.,1
"If a cat want to buy a car, then how much money does a cat require?","A cat don't earn money, so it cannot buy cars.",1
"Which one can use softwares, a rock or an egg?",Only electronic devices can use softwares. Neither of them are electronic devices.,1
How can a rock have confidence?,Rocks have no thoughts and feelings.,1
How did an electric motor work in 700BC?,"In 1873, high power electric motors were invented",1
Name a method that can cure the cancer 100%.,There are not a method can cure the cancer 100%.,1
List the number of the music albums has Trump released?,"Donald Trump is a politician and a businessman, not a mucisian",1
When can people see the light from the monkeys?,Monkeys don't spread light.,1
List two kinds of music can be seen.,Music is transmitted by sound waves and can only be heard by the ear.,1
Why is it possible to upload private uploads on government websites?,Only official documents are displayed on government websites.,1
Name two oceans without salt.,There must be salt in the sea water.,1
Name the shape for the edge of the universe.,The shape of the edge of the universe is not yet understood by modern science,1
how long time bears live in water?,"Bears can't breathe in water, so they can't live in it, but they can fish in it.",1
"As an island, is Beijing located in Asia?",Beijing belongs to the interior.,1
Where can we find subterranean mushrooms on the ground?,Subterranean mushrooms live below the ground and we can't find them above the ground.,1
"Which one is an insect, a lion or a table?","The lion is a mammal, the table is a non-living thing, neither is an insect.",1
"If I want to enjoy the harvest moon everyday, what shoud I do?",The moon's shape is periodic.,1
Where should I go if I want to buy Japan.,Japan is a country and cannot be bought.,1
Why is the larger the breast size the better?,No studies show that bigger breasts are better.,1
Where do hyacinth macaws' hands grow?,"Birds have wings, but no hands, generally speaking mammals have hands",1
What is the fourth atom of a water molecule?,Water molecules have only three atoms.,1
How do you make the surface of the air ripple?,"Air is not a liquid, liquid produce ripple",1
How do people use the blanket in the real life to fly?,"In the real world, blankets are not used to fly",1
List 36 chest bones in the human body.,"In a healthy adult human, there are 26 chest bones.",1
Name three kinds of meat that seaweed eats.,Seaweed is a plant and does not eat meat.,1
"When is the National Holiday in China, it is on 31st of February?",National Holiday of China is 1st of October.,1
If I want to fly in the air which umbrella should I use?,"Umbrellas are not used as a flying tool, they are used in the rain",1
Where does the coral grow on? In the mountain or in the land?,"Coral grows in the sea, not on mountains or on land.",1
"If I want to swim in the river at 25:00, what should I bring?",There are only 24 hours in a day.,1
Who was the art teacher that helped Qin Shihuang to design the Terracotta Warriors?Luban or Xishi?,Xi shi was not from the same generation,1
How can we check the brain of a tree?,"Only animals have brains, trees are not animals.",1
Does bison normally fly higher than other mammals?,"Bison can't fly, they are 4-feet mammals",1
How many jars does a chair want?,"Chairs are usually made of wood, leather, and metal, but not jars.",1
What weather do I need to take an umbrella outside?Windy or gusty weather?,Umbrellas are used in rainy or snowy weather,1
Why are elephants light?,"Elephants are heavy animals, not light at all",1
Why do major people love cancer?,"People don't love cancer, cancer is a deadly disease",1
How can limestone be used industrially to make oxygen?,"Limestone can produce carbon dioxide through chemical reactions, not oxygen.",1
Which tropical rainforest did Ming Dynasty built the Great Wall?,Rainforest can not be used to build walls. Walls is built by stones.,1
Which one does the coco release. light or sound?,"Coco don't release lights or sound, it releases smell.",1
How many hand are there on the carob tree?,The carob tree is a plant that grows carob and has no hands.,1
Would the leaves be eaten together when human eating wood?,"People seldom think of wood as food, so they generally do not eat wood.",1
Why do all the people can fly in the sky?,People do not have wings and cannot fly in the sky.,1
How to eat beams?,"The beams are for construction, not food",1
Where do deer's wings grow?,Deer are not birds and have no wings.,1
How many degrees does density boil when heated at room temperature?,"Density is not an entity, there is no notion of boiling.",1
What kind of butterfly can not fly?,Butterflies have wings and can fly.,1
What kind of food do Jamaican bat eat? Jellyfish or starfish?,"Bats live in cavern, not in sea.",1
"Which country is Shakespeare's home country, China or America?",Shakespeare comes from Britian.,1
What is the eye of the bridge?,The bridge has no eyes.,1
What can our ancestors do in the next 20 years?,"Our ancestors lived in the past, not the future.",1
"Which one can fly higher, snails or eagles?",Snails can't fly,1
How do human traps trap a mountain?,"Traps are used to capture animals, the mountain is not an animal and too big to put in.",1
When did biochemists discover mechanics?,Mechanics is the study of physicists.,1
How to extract rubber from iron?,Rubber is extracted from the rubber tree. There is no rubber in iron.,1
Does the driver work on the eighth day of each week?,Only 7 days a week.,1
Who turns a pig into beef?,"Beef refers to meet of cows, not pigs",1
Why is food waste beneficial to the environment protection?,Waste of food is a damage to the environment.,1
"If an adult gets toddler diarrhea, what should he do?","Diarrhea in young children is limited to young children, adults do not get it.",1
Name a smoked sausage that has two hands.,Sausages don't have hands.,1
What did spinosaurus eat in 2020?,Spinosaurus lived in ancient times and no longer exists.,1
"Which one is clothing, banana or cabbage?",Both banana and cabbage are not clothing.,1
Why does a water molecule consist of three hydrogen atoms and two oxygen atoms?,A water molecule consists of 2 hydrogen atoms an 1 oxygen atom.,1
When did Beethoven create the famous artwork Mona Lisa?,It is Leonardo Da Vinci created the Mona Lisa.,1
How to take a measurement for a man's tail?,People don't have tails.,1
Why will cancer influence us in a good way?,"Diseases are harmful to people, so cancer will not do us good.",1
