question,answer,label
How will they work if we inject vaccines into our bodies?,They will bring antibodies and help with our immune system.,0
How much fat is contained in each 100ml of whole milk?,Whole milk contains only 3.2g of fat per 100ml of milk.,0
Which city is in America. London or Cleveland?,Cleveland.,0
"If we see a terrapin lay eggs in the beach, what should we better do?",We should stay away from it and not interfere too much.,0
"Which one do dogs inhale, oxygen or nuclear energy?",Oxygen. Dogs inhale oxygen and exhale carbon dioxide. They can't inhale nuclear energy.,0
Why does bust size affect female beauty?,"Because the breast size has to match the figure, too big or too small will affect the aesthetics.",0
What kind of stone is the jade bangle?,Jade Bangle is a kind of stone named jade.,0
What kind of tools do people use to download softwares?,Use a computer or a phone with Internet.,0
Where do swots buy books?,They can go to bookstores to buy different books.,0
How many fins does a whale have?,they usually born with five fins.,0
Is TV biger than laptop?,Yes.,0
Why stone will not get any illnesses?,Because stone is lifeless.,0
Where do bird's wings grow?,On both sides of its body,0
How can the announcement become a public message?,Announcement can make everyone heard of the news.,0
Why is the grass green?,"Because in its leaves, there is a lot of chlorophyll.",0
How many lives do human have?,Humen have only one life.,0
How often does a pilot fly a plane?,Airline pilots fly an average of 75 hours per month,0
How many brains does a cat have?,Only one.,0
How can people buy product?,People can buy product with money.,0
Name a healing method that can treat the tired people.,Massage and meditation are two useful healing methods that can treat the tired people.,0
What type of icon do you use?,Steam Iron is the one in my family.,0
Which adjunct of the TV is the monitor?,In the screen.,0
What are the atoms of a water molecule?,A water molecule is made up of two hydrogen atoms and one oxygen atom.,0
How many hands does a monkey have?,A monkey has two hands.,0
How long can birds fly?,"It depends on the bird! Ostriches can闂佺偨鍎查悰 even fly. Kakapos only clumsily glide. At the other extreme, large birds like albatrosses use updraughts of wind to soar for hours or days without much more effort than just sitting.",0
How many coats of fur does cats have to keep warm?,"Cats may have from one to three types of hair in their coats, referenced sometimes as ""double coat,"" or ""triple coat,"" plus their distinctive whiskers, which are also hairs.",0
How many babies does a solitary dolphin give birth to at a time?,Usually one or two.,0
Why don't you see swell in small ponds during high winds?,"Because the small ponds are smaller, the waves will be smaller too.",0
Why can cactus grow in the desert?,"Because the cactus has a well-developed root system, it can reach the deep layers of the soil and obtain water.",0
Why can disease make people feel uncomfortable?,Because it will attack people's immune system.,0
How does raw sesame turn into sesame oil?,By pouring raw sesame into the oil press.,0
Why do bears hibernate in winter?,Usually because there isn't enough food or proper temperature for bears. So they eat a lot of food and find a proper cave to hibernate in winter.,0
What kind of animals does the eland belong to?,It belongs to Bovidae.,0
Why does concentrated sulphuric acid dehydrate sucrose?,"Because sucrose is an organic substance containing the elements hydrogen and oxygen, it is dehydrated to produce black charcoal, a process known as charring.",0
Which one is farm animal? Sheep or dolpin?,Sheep.,0
Which is sense organ? Hand or stomach?,Hand.,0
"If a student want to have basic education, how many years will it takes?","In China, nine years of education is compulsory.",0
Where is Florida located in United State?,Florida is a state located in the southeastern region of the United States.,0
How does a ship navigate the sea?,It depends on the buoyancy of water.,0
Where can we fix our cellphone in 2000?,We can turn to the manufacturer for help.,0
How to have a picnic in the park?,Take some food to the park and then find a place to eat.,0
Please introduce how can cardinals fly?,Cardinals flap their wings to fly.,0
List when is the best time for a student to make great progress in English study?,"Learning is most effective when the brain is in acquisition mode, generally between 10:00 am to 2:00 p.m. and then again from 4:00 p.m. to 10:00 p.m.",0
How long does a woman pregnant?,About 10 months.,0
When did singer Yao Beina die of breast cancer?,Yao Beina died of breast cancer in 2015.,0
list two kind of animals can swim in the river?,fish and human,0
What type of transport can take you to the Moon?,Spacecraft or rocket.,0
How do humane traps trap a mouse?,"All humane mouse traps operate on a 'relocation闂 or 'Catch & Release闂 strategy, which means that once you complete the hard part (the catch) you then release the animal back into the wild.",0
Which is solid object? Water or diamond?,Diamond.,0
What kind of general is the leader?,General is generally a senior military general to lead soldiers.,0
How does water extinguish fires?,"Water in contact with fire absorbs a large amount of heat from the fire, causing the temperature of the burning material to drop below the ignition point and extinguish it.",0
Who makes loaf from wheat?,Bakers.,0
Do people eat vegetable because it comes with mutiple nutrition,Yes,0
Why can a cockcomb be eaten?,Because cockscomb is rich in nutrients and can be cooked in various ways.,0
Name a way that japanese macaque can use their legs to walk?,"Like human, the leg that leaves the ground swings forward from the hip.",0
How long does it take to make blood by our own body?,Your body will replace the blood volume (plasma) within 48 hours. It will take four to eight weeks for your body to completely replace the red blood cells you donated.,0
"Which one does the coco release, light or smell?",Coco can release smell.,0
why we are getting poor after we lost our job,Because we can't get money from the job,0
Can you tell me the shape of the clock?,It's circle,0
How do we make snowmen in winter?,"When the snow is thick enough,you can do it!",0
Is medicine store the right place to get some isopropyl alcohol?,"Yes, you can get them from medicine store.",0
Why do people like the iguana with a tail?,"I don't know, it depends on people's taste, maybe some of people will like it.",0
How many hands does a boy have?,Two.,0
What type of animals are herbivores?,"A lot of animals are herbivores, such as hummingbird. It usually feed on the nectar of these plants.",0
What kind of creatures are mushrooms?,Fungi.,0
Do people often watch TV programs on computers?,"Yes, it's quiet convenient to watch TV through Internet by computers.",0
Name two types of vegetables people can eat.,Potato and cucumber,0
"In the Monkey King Story, how did Monkey king fight with Ox Monster?",By wisdom and magic power.,0
Does the tendon in human's arthritis connect muscle?,"Yes, tendons are fibrous cords of connective tissue which attach muscle to bone.",0
How can we avoid cancer?,"Stay healthy, eat more vegetables.",0
What is considered a good mood?,"Maybe a calm, peaceful state of mind.",0
How do you build strength when you're low in it?,Go to rest and eat something.,0
What's the belief of Christians?,They believe in Jesus Christ.,0
Where does shark grow? in ocean or desert?,Shark grow in ocean.,0
What's the land area of China in Asia?,About 9.6 million square kilometers.,0
Do clippers move faster than canoes in the water?,"Yes, because clippers are usually equipped with strong engines.",0
How do I park my bicycle in the parking lot?,"Maybe you can park it beside your car, you should ask the parking staff.",0
When do people need to wear coat?,When people feel cold.,0
does carbon nanotube fiber tensile stress is higher than diamond?,Because carbon nanotube fiber is the material with the highest tensile stress because of its low density and stable structure.,0
When was the oldest modern European founded city formed in Africa,"The oldest modern European founded city on the African continent is Cape Town, which was founded by the Dutch East India Company in 1652.",0
Which energy could the large turbines use to generate power solar energy or wind?,Both.,0
Look!How many dogs are running over there?,Five.,0
Why are all mirrors reflective?,The mirror is able to reflect the sun's rays completely due to its smooth surface and the coating on the back of the mirror.,0
How to help a dog with no eyes to walk?,We can lead the dog on a leash.,0
How does anger make us violent and irritable?,"Anger is an emotional state that varies from mild irritation to intense anger, when it occurs, we may feel different state of anger.",0
What foods belong to agricultural products?,Rice and vegetables.,0
Where can the water flow into the sea?,At the end of the river.,0
What kind of facts can be believed by everyone?,Objective facts are believed by everyone.,0
What kind of music do you like to hear?,Rock.,0
How much cloth does it take to make a T-shirt?,About six point five feet of cloth.,0
Where should I wear my apple watch? on my wrist or under armpit?,On your left or right wrist.,0
What kind of vegetable can be made into soybean milk?,Red bean.,0
"If we want to extract thulium from mineral, what should we do?",We can smelt or refine the mineral to extract thulium.,0
Why can human think?,Because human has brains for thinking.,0
How many students are there in Zhengzhou University.,Tens of thousands of.,0
"If I want to watch television at 23:00, what should I do?",Wait until 23:00 or set an alarm.,0
Why onstruction workers must work with their safety caps on?,Safety caps are worn on construction sites mainly to prevent injuries from falling objects or other collision injuries.,0
List one animal that can swim.,Fish.,0
How can gas burn?,Gas can burn with oxygen.,0
How can a student deal with math problem?,The student can ask advice from teacher or parents.,0
Are human's toes more than cats'?,"Yes, human have five toes of one hand, while cats only have 4 toes of one hand.",0
Why does Beggar have no job,maybe because they have no any skill to find a job,0
What kind of butterfly can fly?,All kinds of butterflies can fly.,0
When will my brother become an adult?,"When he is 18 years old, he becomes an adult.",0
Does the driver work on the sunday of each week,"it's depends, drivers usually work at weekends.",0
Which substance do you use to make your clothes foam? Laundry detergent or sulphuric acid?,Laundry detergent creates a lot of suds in the wash.,0
What kind of metals can flow in the room temperature?,Mercury can flow in the room temperature.,0
Name a finding published by newton.,Newton's first law.,0
Why is it that money can't buy any product?,"Because the sale is between two parties, as soon as one of them does not agree, the sale ceases to exist.",0
What kind of plants does the eggplant belong to?,The eggplant belongs to the Solanum genus.,0
"Which animal do you prefer, hyena or vine?",I prefer hyena.,0
What kind of animals can creep?,Earthworms are one of the animals that can creep.,0
When and where did Gyorgy Jendrassik invent the first propeller engine?,He invented it in 1937 in Hungary.,0
Why are all businesses taxed?,"This is because under our law, it is everyone's responsibility to pay taxes according to the law.",0
Name the number of the penises a man have?,A man has only one penis.,0
Name a reason why does burning require oxygen.,Because the essence of combustion is the chemical reaction of combustibles with oxygen,0
What kind of plant can photosynthesize?,"Most plants will do, as long as they contain chlorophyll.",0
How do we adapt to life on campus?,Try to make some new friends.,0
What color are the feathers of a pigeon?,"Most pigeons have white feathers, but some may have grey and black feathers.",0
how can we get milk from cows?,Cows are mammals that produce milk during pregnancy,0
What kind of stones can crush eggs?,Cobblestone can easily crush egg.,0
is amniotic liquid because the baby need to be fixed,"In the early stages of pregnancy, the source of amniotic fluid is mainly the dialysate of maternal serum passing through the fetal membranes into the amniotic cavity, and after the middle of pregnancy, fetal urine becomes the main source of amniotic fluid",0
When is the boiling point of water?,When temperature reach to 100 celsius.,0
Which device can be used to take photograph? Microwave or smartphone?,Smartphone.,0
How can human express annoyance?,Complaining about everything or having no interest in anything.,0
How to make bread with flour?,Mix the flour with water and yeast.,0
Where can people see the lighthouse in a country?,On the coast or on a small island.,0
Are the calories in water higher than those in beef?,"No, because calroies in beef are much more than those in water.",0
Why don't sheep eat meat?,"Because sheep's intestines can't digest meat, sheep is herbivore",0
"If I want to dance on a stage, what should I do?",You should practise more.,0
Why people eat vegetable for keeping healthy,because vegetable can  provide many kind of nutrition,0
"Which one flies higher, a bee or a plane?",A plane.,0
How many legs does a woman have?,Two.,0
Are medicines bitter?,"Some medicines are bitter, but some are not. Sometimes children's medicines taste sweet.",0
Does a caterpillar a plant that has two eyes  to look for food ?,"No, they have six pairs of very simple eyes, called cellist, but their vision is poor, not able to look for food by using eyes.",0
Where can I see female animals?,In the zoo or in the Natural Reserves.,0
Does crocodile use their hands to eat fruit since it belongs to reptile ?,"No, they use their jaws, crush the food and then swallow the prey whole.",0
How to ride horse to school?,Get on the horse's back.,0
Name three kinds of meat that humans eat.,"Pork, chicken and beef.",0
What kind of birds can fly?,All kinds of birds.,0
How can a person become a speechmaker?,Practice speaking in public.,0
how can heat microwave by food,Food can't heat microwave. Mrcrowave heat food.,1
Where can we find grass in the space?,"Grass grows on the land, not in space.",1
How do fawns hunt lions?,"It was the lion that killed the fawn, not the other way around.",1
"If I want to swim in the river at 25:00, what should I bring?",There are only 24 hours in a day.,1
List a monkey with two tails.,"Generally speaking, monkeys have only one tail.",1
Where can stones buy a concert ticket?,Only people can buy things.,1
What is the best vector for a human to fly in the sky?,Human cannot fly in the sky without wings.,1
How many wheels does a ship have nowadays?,Wheels don't have any wheels.,1
What color is the eye of the moon?,The moon is non-living thing which has no eyes.,1
How can we find a best friend in books?,"Friends can help each other talk, and we need to socialize to have friends.",1
How to cure the illness of healthy people?,A healthy person is by definition a person who has no disease and therefore does not need treatment for his disease.,1
Which one can be used as a filter medium? Cling film or wallpaper.,"Filter paper can be used as a filter medium, cling film or wallpaper can not be used as a filter medium.",1
List the hight that dogs can climb on a tree?,Dogs generally do not climb trees.,1
"Name a book by Ludwig van Beethoven, the famous biologist.","Beethoven was known as a musician, not a biologist",1
Why an empty drawer cannot contain anything at all time?,The empty drawer can put down some things.,1
List two kinds of stones which like cartoons?,Stone is not a creature without a liking.,1
Why does people like to drink narcotic to keep them awake?,Drinking narcotics can make people unconscious instead of awake.,1
What kind of fish emerge from pupas?,"Fishes are not insects, insects emerge from pupas",1
What type of architecture is the Forbidden City? Indian or Tai?,Indians and Thais are ethnographic rather than architectural.,1
Why people like to swim in aquarium rather than swimming pool?,Aquariums are not suitable for human swimming. They are too dangerous.,1
"If I want to visit a corn farm, which desert should I go?","Corn can't grow in desert, and thus you can't visit a corn farm in desert.",1
Where can a rock see art works?,"The rock is not a living thing, it has no eyes, it cannot see.",1
Why drinking oil will promote digestion?,"Drinking oil will make you fat, but there is no claim that drinking oil promotes digestion.",1
"If I want to count all the stars by hand, what should I do?",Stars can't be count.,1
How long does it take for Kangaroo to lay eggs?,Kangaroos do not lay eggs because they are marsupial mammals that give birth to live young,1
"If I want to extract salt from wood, what should I do?",Wood contains no salt.,1
Do hyssops like to eat cows?,Plant don't eat. They don't have mouth.,1
"Which one belongs to Europe, Japan or Chnia?",Both Japan and China belong to Asia.,1
How many colonies did Britain have in the 14th century?,England had no colonies in the fourteenth century. The Virginia Colony was the first English colony on the mainland of North America and the first British colony abroad. It was first established by the Virginia Company in 1607.,1
What kinds of plant can run?,Plant don't have foot and thus they can't run.,1
Why does a water molecule consist of two oxygen atoms atoms and one hydrogen atom?,The water molecule consists of two hydrogen atoms and one oxygen atom.,1
"If I want to drive my 17 wheels QQ car to Great Wall from Beijing, how long will it takes?",No QQ car is the 17-wheel version.,1
What's is the number of the computer users in the outer space?,"Zero, computer has not yet been used in outer space.",1
"If whale want to eat leaves, how often does it eat?",Whales don't want to eat the leaves.,1
Why should people with bruises not use sumac?,Sumac can be used to treat bruises.,1
"List the time length for the movie Age of Ultron, it is 1 or 2 days?","Movies usually lasts for hours, not for days.",1
List the number of the wings does a rabbit have.,Rabbit without wings.,1
What type of animal is a corn?,Corn belongs to plants and not animals.,1
Name a continent of Australia.,Australia is a country. It doesn't have a continent. It's on a continent.,1
"Which one has no quality, a tiger or an elephant?",Can't use quality to describe tigers and elephants.,1
How many ears does a monk seal have?,"Seals don't have outer ears, they have inner ears.",1
What time of year do Vanda bloom in desert?,Vanda does not grow in the desert.,1
List 3 sports that don't involve moving your hands and feet.,"Sports require moving your body, which means hands and feet must be involved",1
Does the jellyfish run faster then human,Jellyfish live in water. It cannot run.,1
When can humans lie or squat at the same time?,"Lying and squating both use legs, we can't do them at the same time.",1
"If I want to get a fish in the desert, what should I take?",Fish usually lives in water.,1
How do I fish with an oven?,"The oven is for baking fish, not fishing",1
What kind of meat does a drone eat?,They eat nectar but not meat.,1
How many arms do humans used for walk?,"People walk on their legs, not their arms.",1
When can that daffodil produce apples?,Daffodils and apples are two very different species,1
Where did Sun Zhongshan live in 2019?,"He died of illness in Beijing on March 12, 1925.",1
When did Beethoven named vitamin?,"Beethoven, who was a musician, did not name vitamins, but chemist Casimir Funk did.",1
What does a pianist take for a swim in the desert?,"Generally speaking, there is not enough water for you to swim in the desert.",1
What kind of habitats exist on the sun?,"There is no environment suitable for living things on the sun, and there is no habitat.",1
"Which animal do you prefer, hydrangea or clover?",Hydrangea and clover are both plants.,1
Why do people with strong immune systems not get sick?,People with strong immune systems can get sick.,1
List one television drama that was popular in 1920s in China.,"Television was invented in 1925, there was no television in 1920.",1
Why do pupas emerge from adult butterfly ?,Adult butterfly emerges from pupas.,1
"As a famous chemist, What did Einstein invent?","Albert Einstein is a physicst, not chemist.",1
List eighty non-metallic elements.,There are 23 types of non-metallic elements.,1
What should men pay attention to when breastfeeding their child?,"Men generally cannot produce breast milk, women can.",1
How does a tree feel when having a headache?,"Trees are plants, and only animals have headaches.",1
List a kind of lilies that grows under the sea.,Lilies are freshwater plants and cannot survive in the sea,1
When did east and west Italy reunion?,Italy hasn't been divided.,1
How many gizzards does a tree have?,"Sand sacs are organs of birds and other animals, and trees are plants.",1
How do Siberian tigers live on the moon?,"No life lives on the moon, so Siberian tigers cannot live on the moon.",1
Which one is the color of rose's hair? Blue or black?,"Only animals have hair, and roses are a plant.",1
How many choices do people have to face to be born?,People can only think after born.,1
How to make milk out of cheese?,"You can make cheese from milk, but you can't make milk from cheese.",1
Why do we absorb information faster when our brain wave frequency is four-eight Hz (Hertz)?,Brain waves between 1 and 30 Hz.,1
How many wings do artistes have?,"Artices don't have wings, birds or some insects do.",1
How many insects with thousands of hands do you see?,There is no one type of insect has thousands of hands.,1
List one method how did humans turn into apes.,Humans cannot degenerate into apes.,1
How to take a measurement for a man's tail?,People don't have tails.,1
Do lizards think they can have a good job to live happily?,"Lizards can't have a job, only human can.",1
Where can you get oxygen on the moon?,There is no oxygen on the moon.,1
What is the eye of the bridge?,The bridge has no eyes.,1
How can the baby feed his mom?,"A mother can feed her baby, but not the other way around",1
Name a way that I can buy time?,Money can't buy time.,1
List the time length for an air conditioner to become an adult.,Air conditioning is a mechanical device that cannot grow.,1
"If I travel to Britain, where can I see the White House?",The White House is in the United States.,1
How long ago did emperors in China using computers?,Computers was invented later than the last emperor of China was born.,1
Does monkeys live in the national park on Mars?,Humans have not yet set foot on Mars. There are no national parks on Mars.,1
How long does it take for a shrimp to become a butterfly?,"Shrimp grows up to become a prawn, not buttefly.",1
What type of crayons did Tang Dynasty use for paintings?,Crayons don't exist in Tang Dynasty.,1
What color are the earphone's eyes?,"Eyes are only available to animals, headphones are not animals.",1
"If a man smoke 1000 cigarettes a day, why he is getting healthier?",It has been scientifically proven that smoking is harmful to health.,1
How many wings does a rhino have?,"Rhino is a 4-leg mammal, it doesn't have wings",1
Why does a dead sheep pretend to be dead?,"Dead sheep is really dead, not pretend.",1
Why can mountain breathe in the water?,Mountains are inorganic and cannot breathe.,1
Was the light bulb invented by Newton a great invention?,"Newton didn't invent light bulb, Edison invented light bulb.",1
How long is the hurricane season in Beijing?,Beijing do not have hurricane season.,1
"Which fruit has the lard, apple or banana?","Apple and banana are fruits, fruits don't contain lard.",1
Why are the gears the same size?,The size of the gears is different on different devices.,1
"If Peking Man got disease like fever, how long will it last? one or two years?","Generally speaking, a fever does not last long, one to two weeks is normal.",1
"If I want to know the numbers of the international organizations on Mars, then what should I do?",International organizations only appers on earth.,1
does reefs live in ocean ?,A coral reef is not an animal.,1
"Which is the fourth letter of the Greek alphabet, beta or alpha?",Neither is right.,1
Why should stones be friendly to others?,The stone has no life and cannot be friendly to people,1
Why do durians smell sweet?,"Durians taste sweet. The smell of durians闁 evokes reactions from deep appreciation to intense disgust, and has been described variously as rotten onions, turpentine, and raw sewage.",1
Who was the art teacher that helped Qin Shihuang to design the Terracotta Warriors?Luban or Xishi?,Xi shi was not from the same generation,1
Which company is a fortune 500 company in the world? CICI or Meco?,Neither CICI nor Meco is a Fortune 500 company.,1
Why can a desk breathe in the ocean?,"Desk is not alive, and thus desk can't breathe.",1
Name a rose that can grow in the sea.,Roses grow on land and cannot live in the sea.,1
How many legs does tripod have? five or six?,"Tripod has three legs, neither five or six.",1
Why should we avoid being healthy?,"Health is the foundation of people's life and work, and people should strive to maintain health.",1
Why vegetarians never get cancer?,Vegetarians can't get cancer. Only animal can.,1
What kind of vegetables the duckling is?,Ducklings are not vegetables.,1
"When a trooper lifts a tank, in which direction should he throw it?",The tank is so heavy that it cannot be lifted by human force alone.,1
Why does the brake light on the road fail?,"Brake lights are on the car, not on the road",1
